GAME_ID,LAST_GAME_ID,LAST_GAME_DATE_EST,LAST_GAME_HOME_TEAM_ID,LAST_GAME_HOME_TEAM_CITY,LAST_GAME_HOME_TEAM_NAME,LAST_GAME_HOME_TEAM_ABBREVIATION,LAST_GAME_HOME_TEAM_POINTS,LAST_GAME_VISITOR_TEAM_ID,LAST_GAME_VISITOR_TEAM_CITY,LAST_GAME_VISITOR_TEAM_NAME,LAST_GAME_VISITOR_TEAM_CITY1,LAST_GAME_VISITOR_TEAM_POINTS
12000001,21900867,2020-02-26T00:00:00,1610612737,Atlanta,Hawks,ATL,120,1610612753,Orlando,Magic,ORL,130
12000002,21900955,2020-03-08T00:00:00,1610612765,Detroit,Pistons,DET,84,1610612752,New York,Knicks,NYK,96
12000003,21900129,2019-11-09T00:00:00,1610612741,Chicago,Bulls,CHI,94,1610612745,Houston,Rockets,HOU,117
12000004,21901232,2020-07-30T00:00:00,1610612747,Los Angeles,Lakers,LAL,103,1610612746,LA,Clippers,LAC,101
12000005,21900945,2020-03-07T00:00:00,1610612757,Portland,Trail Blazers,POR,111,1610612758,Sacramento,Kings,SAC,123
12000006,21900879,2020-02-28T00:00:00,1610612766,Charlotte,Hornets,CHA,99,1610612761,Toronto,Raptors,TOR,96
12000007,21900890,2020-02-29T00:00:00,1610612739,Cleveland,Cavaliers,CLE,104,1610612754,Indiana,Pacers,IND,113
12000008,21900846,2020-02-23T00:00:00,1610612759,San Antonio,Spurs,SAS,103,1610612760,Oklahoma City,Thunder,OKC,131
12000009,21901284,2020-08-08T00:00:00,1610612749,Milwaukee,Bucks,MIL,132,1610612742,Dallas,Mavericks,DAL,136
12000010,21900551,2020-01-07T00:00:00,1610612750,Minnesota,Timberwolves,MIN,112,1610612763,Memphis,Grizzlies,MEM,119
12000011,21900913,2020-03-03T00:00:00,1610612744,Golden State,Warriors,GSW,116,1610612743,Denver,Nuggets,DEN,100
12000012,11900108,2020-07-23T00:00:00,1610612762,Utah,Jazz,UTA,88,1610612756,Phoenix,Suns,PHX,101
12000013,12000001,2020-12-11T00:00:00,1610612737,Atlanta,Hawks,ATL,112,1610612753,Orlando,Magic,ORL,116
12000014,21901244,2020-08-02T00:00:00,1610612751,Brooklyn,Nets,BKN,118,1610612764,Washington,Wizards,WAS,110
12000015,12000002,2020-12-11T00:00:00,1610612765,Detroit,Pistons,DET,84,1610612752,New York,Knicks,NYK,90
12000016,12000003,2020-12-11T00:00:00,1610612741,Chicago,Bulls,CHI,104,1610612745,Houston,Rockets,HOU,125
12000017,12000005,2020-12-11T00:00:00,1610612757,Portland,Trail Blazers,POR,127,1610612758,Sacramento,Kings,SAC,102
12000018,12000004,2020-12-11T00:00:00,1610612747,Los Angeles,Lakers,LAL,87,1610612746,LA,Clippers,LAC,81
12000019,12000007,2020-12-12T00:00:00,1610612739,Cleveland,Cavaliers,CLE,107,1610612754,Indiana,Pacers,IND,104
12000020,12000006,2020-12-12T00:00:00,1610612766,Charlotte,Hornets,CHA,100,1610612761,Toronto,Raptors,TOR,111
12000021,21900936,2020-03-06T00:00:00,1610612748,Miami,Heat,MIA,104,1610612740,New Orleans,Pelicans,NOP,110
12000022,12000009,2020-12-12T00:00:00,1610612749,Milwaukee,Bucks,MIL,102,1610612742,Dallas,Mavericks,DAL,112
12000023,12000010,2020-12-12T00:00:00,1610612750,Minnesota,Timberwolves,MIN,105,1610612763,Memphis,Grizzlies,MEM,107
12000024,12000012,2020-12-12T00:00:00,1610612762,Utah,Jazz,UTA,119,1610612756,Phoenix,Suns,PHX,105
12000025,41900124,2020-08-23T00:00:00,1610612755,Philadelphia,76ers,PHI,106,1610612738,Boston,Celtics,BOS,110
